id_zona_origem;id_zona_destino;quantidade_viagens_diarias;id_tipo
1;1;0;1
1;2;0;1
1;3;0;1
1;4;300;1
1;5;156;1
1;6;0;1
1;7;713;1
1;8;42;1
1;9;21;1
1;10;0;1
1;11;67;1
1;12;0;1
1;13;0;1
1;14;0;1
1;15;72;1
1;16;170;1
1;17;0;1
1;18;616;1
1;19;210;1
1;20;247;1
1;21;37;1
1;22;211;1
1;23;50;1
1;24;213;1
1;25;194;1
1;26;221;1
1;27;278;1
1;28;54;1
1;29;81;1
1;30;157;1
1;31;628;1
1;32;69;1
1;33;21;1
1;34;42;1
1;35;608;1
1;36;798;1
1;37;93;1
1;38;0;1
1;39;125;1
1;40;39;1
1;41;544;1
1;42;150;1
1;43;189;1
1;44;476;1
1;45;196;1
1;46;0;1
1;47;0;1
1;48;192;1
1;49;0;1
1;50;320;1
1;51;0;1
1;52;525;1
1;53;0;1
1;54;0;1
1;55;213;1
1;56;294;1
1;57;339;1
1;58;261;1
1;59;0;1
1;60;0;1
1;61;0;1
1;62;33;1
1;63;0;1
1;64;0;1
1;65;0;1
1;66;503;1
1;67;73;1
1;68;0;1
1;69;40;1
1;70;294;1
1;71;1006;1
1;72;0;1
1;73;0;1
1;74;50;1
1;75;77;1
1;76;34;1
1;77;0;1
1;78;111;1
1;79;198;1
1;80;0;1
1;81;71;1
1;82;173;1
1;83;91;1
1;84;0;1
1;85;11;1
1;86;0;1
1;87;0;1
1;88;315;1
1;89;0;1
1;90;0;1
1;91;0;1
1;92;70;1
1;93;322;1
1;94;0;1
1;95;83;1
1;96;0;1
1;97;0;1
1;98;142;1
1;99;45;1
1;100;23;1
1;101;607;1
1;102;0;1
1;103;0;1
1;104;0;1
1;105;131;1
1;106;0;1
1;107;146;1
1;108;0;1
1;109;0;1
1;110;599;1
1;111;0;1
1;112;0;1
1;113;145;1
1;114;0;1
1;115;0;1
1;116;0;1
1;117;0;1
1;118;0;1
1;119;450;1
1;120;0;1
1;121;475;1
1;122;0;1
1;123;0;1
1;124;283;1
1;125;0;1
1;126;132;1
1;127;0;1
1;128;42;1
1;129;0;1
1;130;0;1
1;131;9;1
1;132;0;1
1;133;16;1
1;134;841;1
1;135;193;1
1;136;540;1
1;137;543;1
1;138;321;1
1;139;0;1
1;140;722;1
1;141;715;1
1;142;0;1
1;143;0;1
1;144;0;1
1;145;0;1
1;146;0;1
1;147;322;1
1;148;253;1
1;149;0;1
1;150;174;1
1;151;0;1
1;152;1383;1
1;153;347;1
1;154;0;1
1;155;352;1
1;156;252;1
1;157;0;1
1;158;0;1
1;159;0;1
1;160;0;1
1;161;0;1
1;162;0;1
1;163;0;1
1;164;0;1
1;165;27;1
1;166;0;1
1;167;293;1
1;168;365;1
1;169;708;1
1;170;937;1
1;171;53;1
1;172;0;1
1;173;325;1
1;174;1034;1
1;175;0;1
1;176;0;1
1;177;148;1
1;178;0;1
1;179;0;1
1;180;439;1
1;181;651;1
1;182;572;1
1;183;0;1
1;184;0;1
1;185;209;1
1;186;0;1
1;187;0;1
1;188;0;1
1;189;1195;1
1;190;0;1
1;191;0;1
1;192;0;1
1;193;0;1
1;194;0;1
1;195;346;1
1;196;146;1
1;197;0;1
1;198;0;1
1;199;0;1
1;200;242;1
1;201;0;1
1;202;0;1
1;203;0;1
1;204;533;1
1;205;0;1
1;206;368;1
1;207;0;1
1;208;193;1
1;209;141;1
1;210;0;1
1;211;51;1
1;212;691;1
1;213;0;1
1;214;0;1
1;215;698;1
1;216;0;1
1;217;86;1
1;218;0;1
1;219;0;1
1;220;0;1
1;221;0;1
1;222;0;1
1;223;0;1
1;224;0;1
1;225;0;1
1;226;0;1
1;227;636;1
1;228;0;1
1;229;431;1
1;230;0;1
1;231;277;1
1;232;389;1
1;233;0;1
1;234;0;1
1;235;0;1
1;236;88;1
1;237;79;1
1;238;0;1
1;239;0;1
1;240;98;1
1;241;0;1
1;242;0;1
1;243;242;1
1;244;0;1
1;245;0;1
1;246;0;1
1;247;1369;1
1;248;0;1
1;249;129;1
1;250;0;1
1;251;0;1
1;252;168;1
1;253;21;1
1;254;695;1
1;255;0;1
1;256;0;1
1;257;2086;1
1;258;0;1
1;259;443;1
1;260;0;1
1;261;0;1
1;262;0;1
1;263;390;1
1;264;259;1
1;265;334;1
1;266;0;1
1;267;0;1
1;268;25;1
1;269;0;1
1;270;46;1
1;271;0;1
1;272;0;1
1;273;0;1
1;274;88;1
1;275;0;1
1;276;519;1
1;277;0;1
1;278;0;1
1;279;753;1
1;280;0;1
1;281;162;1
1;282;0;1
1;283;0;1
1;284;947;1
1;285;0;1
1;286;0;1
1;287;0;1
1;288;0;1
1;289;0;1
1;290;0;1
1;291;0;1
1;292;0;1
1;293;0;1
1;294;461;1
1;295;0;1
1;296;47;1
1;297;0;1
1;298;0;1
1;299;0;1
1;300;0;1
1;301;25;1
1;302;0;1
1;303;188;1
1;304;37;1
1;305;0;1
1;306;392;1
1;307;0;1
1;308;0;1
1;309;0;1
1;310;259;1
1;311;0;1
1;312;282;1
1;313;0;1
1;314;326;1
1;315;0;1
1;316;485;1
1;317;27;1
1;318;0;1
1;319;0;1
1;320;125;1
1;321;0;1
1;322;0;1
1;323;0;1
1;324;0;1
1;325;0;1
1;326;0;1
1;327;0;1
1;328;0;1
1;329;0;1
1;330;0;1
1;331;0;1
1;332;0;1
1;333;0;1
1;334;0;1
1;335;0;1
1;336;0;1
